 ,OBJECTID,Verified_B,Latitude,Longitude,CLASS_OB_1,ACRES_1,SITENAME_1,COUNTY,DESIG,REGION,TRAIL,NATURALAREA,HUNTING,FISHING,PICNIC,WATERREC,Playgrounds,Sports Facilities,ADA Compliant,Waste Receptacles,Restroom Facilities,No Fee/Reservation Required,TOT SCORE,COMMENTS
,782,Jameela Rogers,38.5093692152,-76.6640450659,Fishing 141,11,Hallowing Point Boat Ramp,Calvert,COUNTY,SOUTHERN,0,1,0,1,0,1,0,0,1,1,1,0,6,Acreage from document says SP
,896,Jameela Rogers,38.6981198979,-76.6901714665,Natural Area 919,383,Hall Creek Natural Resource Management Area,Calvert,COUNTY,SOUTHERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
,925,Jameela Rogers,38.5694678205,-76.5761786840,Natural Area 398,0,Hughes Memorial Tree Farm,Calvert,COUNTY,SOUTHERN,1,1,0,0,0,0,0,0,,0,0,1,3, 
,1002,Jewel Aleshire,38.6558015114,-76.6831425945,Fishing 311,0,Lower Marlboro Wharf,Calvert,COUNTY,SOUTHERN,0,1,0,1,0,1,0,0,1,0,0,1,5, 
,1105,Jewel Aleshire,38.3223839674,-76.4546864933,Natural Area 921,2,Mollys Leg Dredge Spoil Site,Calvert,COUNTY,SOUTHERN,0,1,0,0,0,1,0,0,0,0,0,1,3, 
,1142,Jewel Aleshire,38.4247864606,-76.5491000656,Fishing 139,0,Nan's Cove,Calvert,COUNTY,SOUTHERN,0,1,0,1,0,1,0,0,1,1,1,1,7, 
,1510,Samuel Bara-Garcia,38.7064454219,-76.5313983874,Fishing 312,0,North Beach Waterfront Park & Boardwalk,Calvert,COUNTY,SOUTHERN,1,1,0,1,0,1,0,0,1,1,1,0,7, 
,1611,Jan-Michael Archer,38.7123624931,-76.5297653040,Natural Area 925,0,Walton Beach Nature Preserve,Calvert,COUNTY,SOUTHERN,0,1,0,0,0,1,0,0,1,0,0,1,4, 
,1612,Jan-Michael Archer,38.7230449632,-76.6458995182,Natural Area 922,0,Ward Farm Recreation and Nature Park,Calvert,COUNTY,SOUTHERN,1,1,0,0,0,0,0,0,,0,0,1,3, 
,1622,Jan-Michael Archer,38.7130241800,-76.5321144958,Natural Area 924,0,Wetlands Overlook Park,Calvert,COUNTY,SOUTHERN,0,1,0,0,0,0,0,0,1,1,1,1,5, 
,1640,Jan-Michael Archer,38.4507075581,-76.4636308973,Fishing 138,0,Flag Ponds Nature Park,Calvert,COUNTY,SOUTHERN,1,1,1,1,1,1,0,0,0,,,1,7, 
,274,Menna Kassa,39.0219792489,-75.8674643672,Hunting 126,134,BRIDGETOWN PONDS HCF,Caroline,HCF,EASTERN,1,1,1,0,0,0,0,0,0,,,1,4, 
,704,Jameela Rogers,38.8014856297,-75.7208313323,Natural Area 1119,0.5,INTERSTATE FT,Caroline,FT,EASTERN,0,1,0,0,0,0,0,0,,,,1,2,Structure is in good shape. The wooden steps and cab are in disrepair. The first 20 feet of steps have been removed for safety reasons.
,877,Jameela Rogers,39.0449238944,-75.8383301727,Natural Area 1071,159,HOLLINSWORTH POND HCF,Caroline,HCF,EASTERN,1,1,0,0,0,0,0,0,,,,1,3, 
,918,Jameela Rogers,38.7353261703,-75.7471894316,Natural Area 1131,3578,IDYLWILD WMA,Caroline,WMA,EASTERN,0,1,0,0,0,0,0,0,,,,1,2, 
,1033,Jewel Aleshire,38.7582275674,-75.7271420199,Hunting 120,375,MARSHYHOPE CREEK NORTH HCF,Caroline,HCF,EASTERN,1,1,1,0,0,1,0,0,0,0,0,1,5, 
,1040,Jewel Aleshire,38.8611925652,-75.8390008314,Fishing 349,105,MARTINAK SP,Caroline,SP,EASTERN,1,1,0,1,1,1,0,0,,,,1,6, 
,1482,Samuel Bara-Garcia,38.7004306682,-75.8741095759,Natural Area 1180,299,JOHN S. AYTON TREE NURSERY,Caroline,SF,EASTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
,1815,Jan-Michael Archer,38.7804805710,-75.7314347656,Fishing 374,49,SMITHVILLE LAKE FMA,Caroline,FMA,EASTERN,0,1,0,1,0,1,0,0,0,0,0,1,4, 
,1,Menna Kassa,38.8317669423,-75.8354529556,Natural Area 404,0,4-H Youth Park,Caroline,COUNTY,EASTERN,1,1,0,0,1,0,0,1,1,1,1,0,7,Required to be a 4-H member
,53,Menna Kassa,38.9771787095,-75.8116326020,Picnic 345,0,Ober Community Park,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,1,1,1,1,1,1,8, 
,62,Menna Kassa,38.8725964645,-75.8297641348,Natural Area 412,0,Sharp Road Park,Caroline,COUNTY,EASTERN,0,1,0,0,0,0,0,0,,,,1,2, 
,318,Coline Bodenreider,38.6815559995,-75.9508550398,Fishing 147,0,Choptank Marina and Choptank Nature Park,Caroline,COUNTY,EASTERN,0,1,0,1,1,0,0,0,1,1,1,0,6, 
,319,Coline Bodenreider,38.9733708826,-75.8017496169,Fishing 148,0,Choptank River Park/Sunset Park,Caroline,COUNTY,EASTERN,0,0,0,1,1,0,0,0,,,,1,3, 
,320,Coline Bodenreider,38.9877767487,-75.7871121642,Fishing 157,0,Christian Park,Caroline,COUNTY,EASTERN,1,1,0,1,1,0,0,0,0,,,1,5, 
,334,Coline Bodenreider,38.8869957031,-75.8371072175,Fishing 149,0,Daniel Crouse Memorial Park,Caroline,COUNTY,EASTERN,1,1,0,1,1,1,0,0,0,0,0,1,6, 
,338,Coline Bodenreider,38.9388775134,-75.8837829664,Picnic 335,0,Day Spring Playground,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,1,0,1,1,,1,6, 
,361,Coline Bodenreider,38.7304787357,-75.8916938358,Picnic 343,0,Jonestown Community Park,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,1,0,1,1,0,1,6, 
,636,Jameela Rogers,38.8048530822,-75.9090574448,Fishing 151,0,Ganey's Wharf,Caroline,COUNTY,EASTERN,0,0,0,1,0,1,0,0,1,,,1,4, 
,642,Jameela Rogers,39.0390674905,-75.7889447554,Picnic 327,0,Goldsboro Park,Caroline,COUNTY,EASTERN,0,0,0,0,1,0,1,1,1,1,0,1,6, 
,655,Jameela Rogers,38.9718427129,-75.8007215180,Fishing 152,0,Greensboro Boat Ramp and River park,Caroline,COUNTY,EASTERN,0,0,0,1,1,1,0,1,1,1,0,1,7, 
,660,Jameela Rogers,38.7791089176,-75.8786452443,Picnic 339,0,Harmony Community Park,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,1,1,1,1,0,1,7, 
,665,Jameela Rogers,39.0730849645,-75.7615056847,Picnic 349,0,Henderson Community Park,Caroline,COUNTY,EASTERN,0,0,0,0,1,0,1,1,1,1,0,1,6, 
,671,Jameela Rogers,38.9170642164,-75.9445103348,Fishing 153,0,Hillsboro Boat Ramp,Caroline,COUNTY,EASTERN,0,1,0,1,0,1,0,0,1,1,0,1,6, 
,672,Jameela Rogers,38.9148770694,-75.9407705399,Picnic 340,0,Hillsboro Park,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,1,0,0,0,-,1,4, 
,674,Jameela Rogers,39.0152069078,-75.7672334208,Fishing 154,0,Holiday Park Campground,Caroline,COUNTY,EASTERN,1,0,0,1,1,1,0,1,1,1,1,1,9, 
,694,Jameela Rogers,38.8824942871,-75.8304441649,Picnic 337,0,Fourth Street Park,Caroline,COUNTY,EASTERN,0,0,0,0,1,0,1,1,1,1,0,1,6, 
,926,Jameela Rogers,38.6927420425,-75.7662058877,Picnic 331,0,Chambers Park,Caroline,COUNTY,EASTERN,0,0,0,0,1,0,0,1,1,1,0,1,5, 
,957,Jewel Aleshire,38.6990641168,-75.8978719372,Picnic 354,15,Linchester Mill,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,0,0,,,,1,3, 
,958,Jewel Aleshire,38.7030482786,-75.8942329227,Natural Area 422,0,Linchester Mill Pond,Caroline,COUNTY,EASTERN,0,1,0,0,0,0,0,0,,,,1,2, 
,1008,Jewel Aleshire,38.8183265435,-75.8705177692,Natural Area 402,206,Lynch Preserve,Caroline,COUNTY,EASTERN,1,1,0,0,0,0,0,0,0,,,1,3, 
,1034,Jewel Aleshire,38.6965301880,-75.7735292529,Natural Area 410,0,Marshyhope Rec Area North,Caroline,COUNTY,EASTERN,1,1,0,0,0,0,0,0,1,1,1,1,6, 
,1035,Jewel Aleshire,38.6850991354,-75.7716176332,Natural Area 411,0,Marshyhope Rec Area South,Caroline,COUNTY,EASTERN,1,1,0,0,0,0,0,0,1,1,0,1,5, 
,1036,Jewel Aleshire,38.7064875659,-75.7600889131,Hunting 63,0,Marshyhope Rod and Gun Club,Caroline,COUNTY,EASTERN,0,0,1,0,0,0,0,1,1,1,1,1,6, 
,1039,Jewel Aleshire,38.9411778061,-75.8863773530,Picnic 344,0,Martin Sutton Memorial Park,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,1,1,1,1,0,1,7, 
,1042,Jewel Aleshire,39.1128019433,-75.7527175823,Natural Area 417,0,Marydel Community Park,Caroline,COUNTY,EASTERN,1,1,0,0,1,0,1,0,1,,,1,6, 
,1155,Jewel Aleshire,39.0613852343,-75.8245653004,Natural Area 419,0,Nature Conservancy (Map 7),Caroline,COUNTY,EASTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
,1156,Jewel Aleshire,39.0532545218,-75.7538152917,Natural Area 418,0,Nature Conservancy (Map 8),Caroline,COUNTY,EASTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
,1193,Jewel Aleshire,38.8907748144,-75.8294426627,Natural Area 414,0,Wheeler Park,Caroline,COUNTY,EASTERN,1,1,0,0,1,0,0,1,1,,,1,6, 
,1291,Samuel Bara-Garcia,38.9934780763,-75.7779062320,Natural Area 416,0,Pelot Wildlife Sanctuary,Caroline,COUNTY,EASTERN,1,1,0,0,0,0,0,0,,,,1,3, 
,1359,Samuel Bara-Garcia,38.7083783727,-75.9079256558,Picnic 346,0,Preston Lions Club Park,Caroline,COUNTY,EASTERN,0,0,0,0,1,0,0,1,1,,,1,4, 
,1385,Samuel Bara-Garcia,38.9472063437,-75.8861076510,Picnic 347,0,Railroad Park/ Linear Park,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,0,0,,,,1,3, 
,1418,Samuel Bara-Garcia,38.8882735404,-75.8270126150,Picnic 353,0,Riverview Garden Playground,Caroline,COUNTY,EASTERN,0,0,0,0,1,0,1,0,1,0,0,1,4, 
,1518,Samuel Bara-Garcia,38.9904793060,-75.7920918881,Natural Area 420,0,North County Regional Park,Caroline,COUNTY,EASTERN,1,1,0,0,0,0,0,0,,,,1,3, 
,1532,Samuel Bara-Garcia,39.0547495436,-75.8626952881,Hunting 62,0,Schrader's Sporting Clays,Caroline,COUNTY,EASTERN,1,1,1,0,0,0,0,0,0,0,0,1,4, 
,1548,Jan-Michael Archer,38.7266437123,-75.8437292377,Natural Area 415,0,South County Athletic Field Complex,Caroline,COUNTY,EASTERN,1,1,0,0,0,0,0,0,,,,1,3, 
,1573,Jan-Michael Archer,38.8926772979,-75.9467993774,Fishing 155,0,Stoney Point Landing,Caroline,COUNTY,EASTERN,0,1,0,1,0,1,0,0,,,,1,4, 
,1585,Jan-Michael Archer,39.1356428394,-75.7665211762,Natural Area 403,0,Templeville Community Park,Caroline,COUNTY,EASTERN,0,1,0,0,0,0,0,0,1,,,1,3, 
,1600,Jan-Michael Archer,38.8239429928,-75.8599773978,Fishing 156,0,Two Johns Landing,Caroline,COUNTY,EASTERN,0,0,0,1,1,1,0,0,0,,,1,4, 
,1608,Jan-Michael Archer,38.6788871945,-75.7749885318,Fishing 144,0,VFW Boat Ramp,Caroline,COUNTY,EASTERN,0,0,0,1,0,1,0,0,1,0,0,1,4, 
,1619,Jan-Michael Archer,38.8895154107,-75.8114297803,Natural Area 401,0,Wesleyan Chesapeake Camp and Conference Center,Caroline,COUNTY,EASTERN,1,1,0,0,0,0,0,1,1,0,0,1,5, 
,1626,Jan-Michael Archer,38.8598991814,-75.8327097431,Fishing 145,0,Camp Mardela,Caroline,COUNTY,EASTERN,1,1,0,1,1,1,0,0,,,,0,5,Must be a member of the camp
,1627,Jan-Michael Archer,38.8239618356,-75.8368390367,Fishing 146,0,Camp Todd,Caroline,COUNTY,EASTERN,1,1,0,1,1,1,1,1,1,1,1,0,10,Must be a member of the camp
,1631,Jan-Michael Archer,38.8387959260,-75.8730507686,Hunting 61,0,Caroline County Shooting Preserve,Caroline,COUNTY,EASTERN,0,0,1,0,0,0,0,0,1,0,,0,2, 
,1633,Jan-Michael Archer,38.6884130325,-75.7713671615,Fishing 150,0,Federalsburg Marina Park,Caroline,COUNTY,EASTERN,1,0,0,1,1,1,0,0,1,0,0,1,6, 
,1647,Jan-Michael Archer,38.7067432063,-75.9053647546,Picnic 342,0,James T. Wright Memorial Park,Caroline,COUNTY,EASTERN,1,0,0,0,1,0,1,0,1,1,0,1,6, 
yes,281,Menna Kassa,39.5578878521,-77.0224183302,Natural Area 1161,177,AVONDALE WMA,Carroll,WMA,CENTRAL,0,1,0,0,0,0,0,0,,,,1,2,http://dnr.maryland.gov/wildlife/Documents/avondalemap.pdf
yes,1112,Jewel Aleshire,39.4731206941,-76.9877777314,Fishing 361,1930,MORGAN RUN NEA,Carroll,NEA,CENTRAL,1,1,1,1,0,0,0,0,,,,,4,http://dnr.maryland.gov/publiclands/Documents/MorganRun_map.pdf
yes,109,Menna Kassa,39.3838847274,-76.9994702262,Natural Area 232,3.200000048,Obrecht Road Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,,0,0,1,3,Baseball Field
yes,112,Menna Kassa,39.3781652769,-76.9801878059,Natural Area 328,3.400000095,Bloomfield Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,,1,0,1,4,Green Space in neighborhood
yes,118,Menna Kassa,39.6671911831,-76.8754875533,Natural Area 321,3.869999886,Skateboard Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,,1,0,1,4, 
yes,126,Menna Kassa,39.6709620868,-76.9790058166,Natural Area 279,4.829999924,Aeromodeler's Park,Carroll,COUNTY,CENTRAL,0,1,0,0,1,0,0,0,,0,0,1,3,Forest
yes,149,Menna Kassa,39.5871093546,-76.9772492508,Fishing 88,7.400000095,Bennett Cerf Park,Carroll,COUNTY,CENTRAL,1,1,0,1,1,0,0,1,1,,,1,7,Baseball Park
yes,157,Menna Kassa,39.4200694634,-76.9897162709,Natural Area 234,8.840000153,Old Liberty Road Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,1,,,1,4, 
yes,163,Menna Kassa,39.5998771916,-76.8610134760,Natural Area 258,10.77000046,Shiloh Middle School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,,1,1,1,5, 
yes,164,Menna Kassa,39.5389527037,-77.1087158697,Natural Area 326,10.77000046,Siebel's Field Ball Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,1,,0,1,4, 
yes,189,Menna Kassa,39.5952346477,-76.8389112030,Natural Area 282,16.05999947,Boxwood Drive Ballfield,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,,,,,1,Forest
yes,212,Menna Kassa,39.4939165733,-76.9000124894,Fishing 97,25.12999916,Beaver Run Fish and Game Club,Carroll,COUNTY,CENTRAL,0,1,1,1,0,0,0,0,,,,,3,Forest
yes,220,Menna Kassa,39.4022587221,-76.9312163881,Natural Area 257,31.61000061,Oklahoma Road Middle School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,1,1,1,1,6,Basketball/Soccer
yes,221,Menna Kassa,39.5928875756,-77.1465868904,Natural Area 215,32.45999908,Bark Hill Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,1,0,0,1,3,Giant grass field
yes,226,Menna Kassa,39.6511164527,-77.1659349709,Natural Area 256,35.79000092,Northwest Middle School,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,0,1,1,1,1,1,7, 
yes,240,Menna Kassa,39.6734037686,-77.1620677652,Trail 211,51.25999832,Bollinger Property,Carroll,COUNTY,CENTRAL,1,0,0,0,0,0,0,0,1,0,0,1,3,Empty Field
yes,245,Menna Kassa,39.6466553883,-76.9866214860,Fishing 86,56.72999954,Bear Branch Nature Center,Carroll,COUNTY,CENTRAL,1,1,0,1,1,0,0,0,1,1,1,1,8, 
yes,270,Menna Kassa,39.6297484709,-77.0089963943,Natural Area 280,119.8399963,Bear Creek Golf Course,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,,1,1,0,4, 
yes,275,Menna Kassa,39.6364196535,-76.8579782836,Natural Area 300,148.7100067,Oakmount Green Golf Course,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,1,,1,1,0,6, 
yes,397,Coline Bodenreider,39.6638423251,-76.8960658661,Natural Area 319,1,Crossroads Overlook Playground,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,1,0,1,0,0,1,5,Small neighborhood Playground
yes,404,Coline Bodenreider,39.6029145315,-76.8412991072,Natural Area 311,1.57,Chief Sites Memorial Park,Carroll,COUNTY,CENTRAL,0,1,0,0,1,0,0,1,1,0,0,1,5, 
yes,413,Coline Bodenreider,39.6026618280,-76.8440970013,Natural Area 312,2.15,Kimberly Village,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,0,1,,,1,3,Neighborhood Green Space
yes,429,Coline Bodenreider,39.6839416589,-77.0407138477,Natural Area 221,3.6,Cherrytown Road Ball Field,Carroll,COUNTY,CENTRAL,0,1,0,0,1,0,0,1,1,0,1,1,6, 
yes,432,Coline Bodenreider,39.6023834284,-77.2693967512,Fishing 90,3.66,Detour Park (Double Pipe Creek),Carroll,COUNTY,CENTRAL,1,1,0,1,1,0,0,1,1,0,0,1,7, 
yes,459,Coline Bodenreider,39.5755350303,-77.0022121589,Picnic 255,5.74,King Park,Carroll,COUNTY,CENTRAL,0,0,0,0,1,0,0,1,1,1,1,1,6, 
yes,465,Coline Bodenreider,39.4174091438,-76.9466532275,Natural Area 291,6.38,Freedom Swim Club,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,1,1,1,1,1,8, 
yes,483,Coline Bodenreider,39.4193109235,-76.9438168154,Natural Area 273,9.49,Freedom District Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,1,0,1,1,1,1,1,1,8, 
yes,488,Coline Bodenreider,39.5828387051,-76.9973081922,Picnic 254,10.21,Dutterer Family Park,Carroll,COUNTY,CENTRAL,1,0,0,0,1,0,1,1,1,1,1,1,8, 
yes,495,Coline Bodenreider,39.6773802996,-77.0349976828,Natural Area 259,11.67,Charles Carroll Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,1,,,,1,4, 
yes,500,Coline Bodenreider,39.6689459335,-76.8814042095,Natural Area 316,13.32,Charlotte's Quest,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,0,,,,,3,Forest
yes,509,Coline Bodenreider,39.5739341827,-76.9781262677,Natural Area 245,15.69,Cranberry Station Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,1,1,1,1,1,7, 
yes,514,Coline Bodenreider,39.5766398692,-77.1772861285,Natural Area 261,17.07,Elmer Wolfe Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,1,1,1,1,1,7, 
yes,516,Coline Bodenreider,39.5427878153,-77.0065397172,Natural Area 265,18,Kate Wagner Road,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,,0,0,1,3,Connected to Elementary School
yes,518,Coline Bodenreider,39.6762442162,-76.8889328313,Natural Area 277,18.9,Ebb Valley Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,0,1,1,1,,5, 
yes,543,Coline Bodenreider,39.4099203123,-76.9576727613,Natural Area 274,29.79,Eldersburg Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,1,1,1,1,,6, 
yes,547,Coline Bodenreider,39.5452347319,-77.0042700346,Natural Area 264,33.44,Friendship Valley Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,1,0,1,1,1,1,1,1,8,Connected to Kate Wagner Park
yes,556,Coline Bodenreider,39.5100598205,-76.9718433079,Fishing 89,43.96,Deer Park,Carroll,COUNTY,CENTRAL,1,1,0,1,1,0,1,1,,,,1,7, 
yes,557,Coline Bodenreider,39.6657340600,-76.8748253525,Natural Area 318,45.53,Christmas Tree Park,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,1,,,0,,4,Looks familiar
yes,561,Coline Bodenreider,39.6828875543,-76.9826001205,Fishing 100,57.96,Deep Run Boy Scout Camp,Carroll,COUNTY,CENTRAL,1,1,0,1,1,0,0,0,,,,,4,Forest
yes,582,Coline Bodenreider,39.4279901857,-77.0463895451,Natural Area 225,137.5,Krimgold Park,Carroll,COUNTY,CENTRAL,0,1,0,0,1,0,1,1,,1,,1,6, 
yes,602,Coline Bodenreider,39.3647274356,-76.9547612675,Natural Area 224,373.1,Freedom Park,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,1,,1,1,,6,Next to Sykesville Baseball Field
yes,714,Jameela Rogers,39.5451896598,-77.1093115722,Natural Area 289,1.120000005,Former New Windsor Middle School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,1,1,0,1,5, 
yes,720,Jameela Rogers,39.6774081161,-76.8979526006,Natural Area 320,2,Hallie Hills Walking Trail,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,0,0,0,0,0,1,3,Forest in between neighborhoods
yes,750,Jameela Rogers,39.5603790857,-76.9918223311,Natural Area 276,5.829999924,Carroll Springs School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,1,1,1,1,,6, 
yes,753,Jameela Rogers,39.5605419418,-76.9797020971,Picnic 222,5.989999771,Carroll Indoor Sports Center,Carroll,COUNTY,CENTRAL,0,0,0,0,1,0,1,0,,1,1,0,4, 
yes,776,Jameela Rogers,39.5345489931,-76.9907448351,Natural Area 249,10.30000019,Gateway School,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,1,,1,1,,6, 
yes,798,Jameela Rogers,39.6090386522,-76.8547126455,Natural Area 314,14.85000038,Hampstead Municipal Park,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,1,1,,1,0,1,7, 
yes,807,Jameela Rogers,39.6105942672,-76.8998397970,Natural Area 290,18.35000038,Four Seasons Sports Complex,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,1,,1,1,0,6, 
yes,811,Jameela Rogers,39.6021114449,-76.8614797546,Natural Area 263,18.72999954,Hampstead Elementary School,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,1,1,1,1,1,0,7, 
yes,823,Jameela Rogers,39.5585886394,-76.9362518061,Natural Area 226,22.14999962,Hap Baker Firearms Facility,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,,1,1,0,4, 
yes,834,Jameela Rogers,39.6176456605,-76.8883862960,Fishing 99,28.82999992,Cascade Lake,Carroll,COUNTY,CENTRAL,1,1,0,1,1,0,0,1,,1,1,0,7,Google maps shows lake is dry
yes,835,Jameela Rogers,39.4212840630,-76.9570180592,Natural Area 227,29.80999947,Hodges Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,1,1,0,1,5, 
yes,847,Jameela Rogers,39.5912631245,-77.1341631971,Trail 167,49.38999939,Francis Scott Key High School,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,0,1,1,1,1,0,6, 
yes,849,Jameela Rogers,39.4238172966,-76.9918502017,Natural Area 233,59.84000015,Century High School,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,0,1,1,1,1,0,6, 
yes,894,Jameela Rogers,39.7165047003,-76.9456100144,Natural Area 292,356.269989,Hanover Municipal Watershed,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,0,0,,0,0,1,3,Forest
yes,897,Jameela Rogers,39.6483985023,-76.9913709219,Fishing 87,384.6900024,Hashawha Environmental Center,Carroll,COUNTY,CENTRAL,1,1,1,1,1,0,0,0,,0,0,1,6,Open grassland
yes,910,Jameela Rogers,39.3955185210,-77.0863443569,Fishing 103,925.5,Gillis Falls Reservoir Site,Carroll,COUNTY,CENTRAL,1,1,1,1,0,0,0,0,,0,0,1,5,Someone's backyard
yes,934,Jewel Aleshire,39.5557761152,-76.9935065442,Natural Area 229,11.97999954,Landon C. Burns Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,1,1,1,1,1,7, 
yes,947,Jewel Aleshire,39.6075003504,-76.8416054689,Fishing 92,100.6999969,Leister Park,Carroll,COUNTY,CENTRAL,1,1,0,1,1,0,1,1,1,1,1,1,10, 
yes,954,Jewel Aleshire,39.4135004405,-76.9511377374,Natural Area 248,47.18000031,Liberty High School,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,0,1,1,1,1,1,7, 
yes,955,Jewel Aleshire,39.4325344567,-76.9023056985,Fishing 101,587.8099976,Liberty Reservoir,Carroll,COUNTY,CENTRAL,1,1,0,1,0,0,0,0,,0,0,,3,Forest
yes,960,Jewel Aleshire,39.4102494198,-77.1165808551,Natural Area 294,98.05999756,Links at Challedon,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,1,1,1,1,0,7, 
yes,963,Jewel Aleshire,39.4222718931,-76.9878771512,Natural Area 266,26.62999916,Linton Springs Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,1,1,1,1,1,7, 
yes,964,Jewel Aleshire,39.6092319028,-76.8453811414,Natural Area 313,36.54000092,Lions Club Park,Carroll,COUNTY,CENTRAL,0,1,0,0,1,0,1,1,1,1,1,1,8, 
yes,965,Jewel Aleshire,39.6642503847,-76.8774243072,Picnic 248,4.070000172,Lions Club Pool,Carroll,COUNTY,CENTRAL,0,0,0,0,1,0,0,1,1,1,1,0,5, 
yes,973,Jewel Aleshire,39.5711532332,-77.1709454935,Fishing 104,34.79000092,Little Pipe Creek Park,Carroll,COUNTY,CENTRAL,1,1,0,1,0,0,0,0,1,0,0,1,5, 
yes,976,Jewel Aleshire,39.3663550820,-76.9668253228,Natural Area 327,0.5099999905,Little Sykes Railway Park,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,1,0,0,1,4, 
yes,1017,Jewel Aleshire,39.6644274352,-76.8838909091,Natural Area 267,19.52000046,Manchester Elementary School,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,1,1,1,1,1,1,8, 
yes,1018,Jewel Aleshire,39.6547465522,-76.8769476792,Natural Area 278,95.58000183,Manchester Valley High School,Carroll,COUNTY,CENTRAL,1,1,0,0,0,0,0,1,1,1,1,1,7, 
yes,1061,Jewel Aleshire,39.4477875374,-77.0420211289,Natural Area 246,118.8399963,Mayeski Park,Carroll,COUNTY,CENTRAL,0,1,0,0,1,0,1,1,1,1,1,1,8, 
yes,1068,Jewel Aleshire,39.5861233527,-77.0030339570,Natural Area 295,67.80000305,McDaniel College,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,0,1,1,1,1,0,5, 
yes,1069,Jewel Aleshire,39.5880799490,-77.0041235685,Natural Area 296,35.86000061,McDaniel College Golf Course,Carroll,COUNTY,CENTRAL,1,1,0,0,1,0,0,1,1,1,1,0,7, 
yes,1082,Jewel Aleshire,39.4682181656,-76.9424898693,Natural Area 268,11.59000015,Mechanicsville Elementary School,Carroll,COUNTY,CENTRAL,0,1,0,0,0,0,1,1,1,1,1,,6, 
yes,1083,Jewel Aleshire,39.6180435070,-76.8554380738,Picnic 242,1.580000043,Melvin Miller Memorial Park,Carroll,COUNTY,CENTRAL,0,0,0,0,1,0,0,1,1,1,1,,5, 
